algorithm,threads,read_prop,value_size,txn_size,num_clients,num_servers,num_key,distribution,zipfian_constant,throughput,average_latency,read_latency,write_latency,99th_latency,95th_latency
EIGER,32,0.9,128,5,8,8,1000000,zipfian-0.000000,0.0,3468.986,14.28,13.84,18.22,65.50,42.31
EIGER,32,0.9,128,5,8,8,1000000,zipfian-0.300000,0.3,3497.404,14.17,13.74,18.06,66.16,42.09
EIGER,32,0.9,128,5,8,8,1000000,zipfian-0.700000,0.7,3582.112,13.83,13.40,17.74,64.98,41.55
EIGER,32,0.9,128,5,8,8,1000000,zipfian-0.800000,0.8,3567.012,13.88,13.42,18.04,63.14,40.61
EIGER,32,0.9,128,5,8,8,1000000,zipfian-0.900000,0.9,3586.6339999999996,13.81,13.34,18.00,62.85,39.65
EIGER,32,0.9,128,5,8,8,1000000,zipfian-0.990000,0.99,3417.578,14.50,14.08,18.29,68.64,44.31
EIGER,32,0.9,128,5,8,8,1000000,zipfian-1.100000,1.1,3679.7940000000003,13.46,12.95,18.06,56.91,36.66
EIGER,32,0.9,128,5,8,8,1000000,zipfian-1.200000,1.2,3648.8300000000004,13.57,13.09,17.86,60.85,38.65
