algorithm,threads,read_prop,value_size,txn_size,num_clients,num_servers,num_key,distribution,zipfian_constant,throughput,average_latency,read_latency,write_latency,99th_latency,95th_latency
EIGER_PORT_PLUS_PLUS,32,0.9,128,5,8,8,1000000,zipfian-0.000000,0.0,4500.522,11.00,10.99,11.08,36.34,21.89
EIGER_PORT_PLUS_PLUS,32,0.9,128,5,8,8,1000000,zipfian-0.300000,0.3,4393.688,11.27,11.26,11.34,38.60,22.89
EIGER_PORT_PLUS_PLUS,32,0.9,128,5,8,8,1000000,zipfian-0.700000,0.7,4466.536,11.08,11.07,11.22,38.24,21.43
EIGER_PORT_PLUS_PLUS,32,0.9,128,5,8,8,1000000,zipfian-0.800000,0.8,4468.642,11.08,11.06,11.17,37.46,21.76
EIGER_PORT_PLUS_PLUS,32,0.9,128,5,8,8,1000000,zipfian-0.900000,0.9,4380.237999999999,11.30,11.29,11.41,38.31,23.01
EIGER_PORT_PLUS_PLUS,32,0.9,128,5,8,8,1000000,zipfian-0.990000,0.99,4501.992,10.99,10.99,11.04,36.14,21.87
EIGER_PORT_PLUS_PLUS,32,0.9,128,5,8,8,1000000,zipfian-1.100000,1.1,4475.237999999999,11.06,11.05,11.13,36.16,22.15
EIGER_PORT_PLUS_PLUS,32,0.9,128,5,8,8,1000000,zipfian-1.200000,1.2,4457.494000000001,11.10,11.09,11.21,38.17,22.62
