algorithm,threads,read_prop,value_size,txn_size,num_clients,num_servers,num_key,distribution,zipfian_constant,throughput,average_latency,read_latency,write_latency,99th_latency,95th_latency
READ_ATOMIC_CONST_ORT,2,0.9,128,5,8,8,1000000,zipfian-0.800000,0.8,1507.652,2.04,2.03,2.13,6.64,2.41
READ_ATOMIC_CONST_ORT,4,0.9,128,5,8,8,1000000,zipfian-0.800000,0.8,2282.716,2.71,2.70,2.78,9.91,4.76
READ_ATOMIC_CONST_ORT,8,0.9,128,5,8,8,1000000,zipfian-0.800000,0.8,3246.312,3.81,3.80,3.86,13.15,7.88
READ_ATOMIC_CONST_ORT,16,0.9,128,5,8,8,1000000,zipfian-0.800000,0.8,4336.13,5.71,5.70,5.76,16.91,11.15
READ_ATOMIC_CONST_ORT,32,0.9,128,5,8,8,1000000,zipfian-0.800000,0.8,4892.226000000001,10.11,10.11,10.17,29.16,19.51
READ_ATOMIC_CONST_ORT,64,0.9,128,5,8,8,1000000,zipfian-0.800000,0.8,5546.976000000001,17.85,17.84,17.93,53.84,35.38
READ_ATOMIC_CONST_ORT,128,0.9,128,5,8,8,1000000,zipfian-0.800000,0.8,5977.242,33.13,33.11,33.33,96.12,64.18
READ_ATOMIC_CONST_ORT,256,0.9,128,5,8,8,1000000,zipfian-0.800000,0.8,6509.342,60.87,60.85,61.11,60.87,60.87
READ_ATOMIC_CONST_ORT,512,0.9,128,5,8,8,1000000,zipfian-0.800000,0.8,6715.210000000001,117.98,117.92,118.49,117.98,117.98
