algorithm,threads,read_prop,value_size,txn_size,num_clients,num_servers,num_key,distribution,zipfian_constant,throughput,average_latency,read_latency,write_latency,99th_latency,95th_latency
EIGER_PORT_PLUS_PLUS,2,0.9,128,5,8,8,1000000,zipfian-0.800000,0.8,1467.816,2.10,2.09,2.22,7.30,2.53
EIGER_PORT_PLUS_PLUS,4,0.9,128,5,8,8,1000000,zipfian-0.800000,0.8,2249.532,2.74,2.73,2.84,10.79,4.89
EIGER_PORT_PLUS_PLUS,8,0.9,128,5,8,8,1000000,zipfian-0.800000,0.8,3029.922,4.09,4.08,4.18,15.27,8.40
EIGER_PORT_PLUS_PLUS,16,0.9,128,5,8,8,1000000,zipfian-0.800000,0.8,3882.362,6.37,6.37,6.42,24.05,12.29
EIGER_PORT_PLUS_PLUS,32,0.9,128,5,8,8,1000000,zipfian-0.800000,0.8,4481.166,11.06,11.05,11.10,36.27,22.03
EIGER_PORT_PLUS_PLUS,64,0.9,128,5,8,8,1000000,zipfian-0.800000,0.8,5034.824,19.67,19.66,19.74,63.40,39.90
EIGER_PORT_PLUS_PLUS,128,0.9,128,5,8,8,1000000,zipfian-0.800000,0.8,5502.232,36.00,36.00,36.03,43.78,69.27
EIGER_PORT_PLUS_PLUS,256,0.9,128,5,8,8,1000000,zipfian-0.800000,0.8,5770.326,68.66,68.62,69.06,68.66,68.66
EIGER_PORT_PLUS_PLUS,512,0.9,128,5,8,8,1000000,zipfian-0.800000,0.8,6030.028,131.37,131.33,131.74,131.37,131.37
