algorithm,threads,read_prop,value_size,txn_size,num_clients,num_servers,num_key,distribution,zipfian_constant,throughput,average_latency,read_latency,write_latency,99th_latency,95th_latency
READ_ATOMIC_STAMP,1000,0.95,1,16,5,5,1000000,zipfian,0.99,2452.638125,123.39,123.41,123.07,123.39,123.39
READ_ATOMIC_STAMP,1000,0.95,1,16,10,10,1000000,zipfian,0.99,3814.930625,158.48,158.47,158.82,158.48,158.48
READ_ATOMIC_STAMP,1000,0.95,1,16,15,15,1000000,zipfian,0.99,5193.68375,174.69,174.66,175.29,174.69,174.69
READ_ATOMIC_STAMP,1000,0.95,1,16,20,20,1000000,zipfian,0.99,6305.34125,191.89,191.85,192.61,191.89,191.89
READ_ATOMIC_STAMP,1000,0.95,1,16,25,25,1000000,zipfian,0.99,7208.87875,209.75,209.70,210.55,209.75,209.75
