algorithm,threads,read_prop,value_size,txn_size,num_clients,num_servers,num_key,distribution,zipfian_constant,throughput,average_latency,read_latency,write_latency,99th_latency,95th_latency
READ_ATOMIC_CONST_ORT,1000,0.95,1,16,5,5,1000000,zipfian,0.99,4464.519375,67.68,67.68,67.76,67.68,67.68
READ_ATOMIC_CONST_ORT,1000,0.95,1,16,10,10,1000000,zipfian,0.99,6975.5325,86.64,86.61,87.11,86.64,86.64
READ_ATOMIC_CONST_ORT,1000,0.95,1,16,15,15,1000000,zipfian,0.99,9034.970625,100.35,100.32,100.89,100.35,100.35
READ_ATOMIC_CONST_ORT,1000,0.95,1,16,20,20,1000000,zipfian,0.99,10902.26875,110.85,110.81,111.52,110.85,110.85
READ_ATOMIC_CONST_ORT,1000,0.95,1,16,25,25,1000000,zipfian,0.99,12764.528125,118.42,118.37,119.42,118.42,118.42
