algorithm,threads,read_prop,value_size,txn_size,num_clients,num_servers,num_key,distribution,zipfian_constant,throughput,average_latency,read_latency,write_latency,99th_latency,95th_latency
EIGER,32,0.9,128,5,2,2,1000000,zipfian-0.800000,0.8,2230.584,5.54,5.17,8.86,20.15,8.50
EIGER,32,0.9,128,5,4,4,1000000,zipfian-0.800000,0.8,2934.392,8.43,7.92,13.00,33.48,16.75
EIGER,32,0.9,128,5,8,8,1000000,zipfian-0.800000,0.8,3694.9379999999996,13.40,12.92,17.73,57.80,37.89
EIGER,32,0.9,128,5,16,16,1000000,zipfian-0.800000,0.8,4215.994000000001,23.55,24.11,18.54,23.55,28.51
EIGER,32,0.9,128,5,32,32,1000000,zipfian-0.800000,0.8,4349.564,45.62,48.16,22.77,45.62,45.62
