algorithm,threads,read_prop,value_size,txn_size,num_clients,num_servers,num_key,distribution,zipfian_constant,throughput,average_latency,read_latency,write_latency,99th_latency,95th_latency
READ_ATOMIC_FASTOPW,1000,0.0,1,16,5,5,1000000,zipfian,0.99,1442.170625,210.81,0.00,210.81,210.81,210.81
READ_ATOMIC_FASTOPW,1000,0.3,1,16,5,5,1000000,zipfian,0.99,1822.784375,165.55,165.25,165.68,165.55,165.55
READ_ATOMIC_FASTOPW,1000,0.5,1,16,5,5,1000000,zipfian,0.99,2188.98875,146.50,146.06,146.95,146.50,146.50
READ_ATOMIC_FASTOPW,1000,0.7,1,16,5,5,1000000,zipfian,0.99,2192.97375,137.65,137.61,137.74,137.65,137.65
READ_ATOMIC_FASTOPW,1000,0.95,1,16,5,5,1000000,zipfian,0.99,4130.13875,73.07,73.08,72.87,73.07,73.07
