algorithm,threads,read_prop,value_size,txn_size,num_clients,num_servers,num_key,distribution,zipfian_constant,throughput,average_latency,read_latency,write_latency,99th_latency,95th_latency
READ_ATOMIC_STAMP,1000,0.0,1,16,5,5,1000000,zipfian,0.99,1200.7475,254.87,0.00,254.87,254.87,254.87
READ_ATOMIC_STAMP,1000,0.3,1,16,5,5,1000000,zipfian,0.99,1410.874375,220.21,214.63,222.60,220.21,220.21
READ_ATOMIC_STAMP,1000,0.5,1,16,5,5,1000000,zipfian,0.99,1586.949375,191.63,191.23,192.03,191.63,191.63
READ_ATOMIC_STAMP,1000,0.7,1,16,5,5,1000000,zipfian,0.99,1859.28625,164.63,164.42,165.10,164.63,164.63
READ_ATOMIC_STAMP,1000,0.95,1,16,5,5,1000000,zipfian,0.99,2385.42,126.84,126.83,126.91,126.84,126.84
