algorithm,threads,read_prop,value_size,txn_size,num_clients,num_servers,num_key,distribution,zipfian_constant,throughput,average_latency,read_latency,write_latency,99th_latency,95th_latency
EIGER_PORT_PLUS_PLUS,32,0.0,128,5,8,8,1000000,zipfian-0.800000,0.8,1917.122,25.83,0.00,25.83,25.83,49.25
EIGER_PORT_PLUS_PLUS,32,0.3,128,5,8,8,1000000,zipfian-0.800000,0.8,2335.45,21.22,20.95,21.33,21.22,38.80
EIGER_PORT_PLUS_PLUS,32,0.5,128,5,8,8,1000000,zipfian-0.800000,0.8,2829.928,17.50,17.40,17.61,22.66,33.19
EIGER_PORT_PLUS_PLUS,32,0.7,128,5,8,8,1000000,zipfian-0.800000,0.8,3397.876,14.58,14.56,14.63,65.96,27.95
EIGER_PORT_PLUS_PLUS,32,0.9,128,5,8,8,1000000,zipfian-0.800000,0.8,4451.154,11.12,11.12,11.16,37.02,22.25
EIGER_PORT_PLUS_PLUS,32,1.0,128,5,8,8,1000000,zipfian-0.800000,0.8,5537.7919999999995,8.94,8.94,0.00,23.75,16.50
