algorithm,threads,read_prop,value_size,txn_size,num_clients,num_servers,num_key,distribution,zipfian_constant,throughput,average_latency,read_latency,write_latency,99th_latency,95th_latency
READ_ATOMIC_CONST_ORT,1000,0.95,1,16,5,5,1000000,zipfian,0.99,4272.670625,70.70,70.69,70.94,70.70,70.70
READ_ATOMIC_CONST_ORT,1000,0.95,1,32,5,5,1000000,zipfian,0.99,1426.6303125,106.12,106.09,106.67,106.12,106.12
READ_ATOMIC_CONST_ORT,1000,0.95,1,64,5,5,1000000,zipfian,0.99,453.04078125,166.71,166.68,167.27,166.71,166.71
READ_ATOMIC_CONST_ORT,1000,0.95,1,128,5,5,1000000,zipfian,0.99,119.2621875,316.66,316.72,315.51,316.66,316.66
READ_ATOMIC_CONST_ORT,1000,0.95,1,200,5,5,1000000,zipfian,0.99,50.2426,481.33,481.28,482.28,481.33,481.33
READ_ATOMIC_CONST_ORT,1000,0.95,1,256,5,5,1000000,zipfian,0.99,29.596875,638.19,638.06,640.67,638.19,638.19
