algorithm,threads,read_prop,value_size,txn_size,num_clients,num_servers,num_key,distribution,zipfian_constant,throughput,average_latency,read_latency,write_latency,99th_latency,95th_latency
READ_ATOMIC_LIST,1000,0.95,1,16,5,5,1000000,zipfian,0.99,3750.773125,80.57,77.22,144.13,80.57,80.57
READ_ATOMIC_LIST,1000,0.95,1,32,5,5,1000000,zipfian,0.99,858.11125,176.15,171.13,271.59,176.15,176.15
READ_ATOMIC_LIST,1000,0.95,1,64,5,5,1000000,zipfian,0.99,156.720625,482.79,473.99,649.94,482.79,482.79
READ_ATOMIC_LIST,1000,0.95,1,128,5,5,1000000,zipfian,0.99,20.091015625,1890.55,1863.29,2413.00,1890.55,1890.55
READ_ATOMIC_LIST,1000,0.95,1,200,5,5,1000000,zipfian,0.99,7.0516499999999995,3432.68,3389.56,4249.17,3432.68,3432.68
READ_ATOMIC_LIST,1000,0.95,1,256,5,5,1000000,zipfian,0.99,3.934140625,4656.33,4606.85,5612.18,4656.33,4656.33
