algorithm,threads,read_prop,value_size,txn_size,num_clients,num_servers,num_key,distribution,zipfian_constant,throughput,average_latency,read_latency,write_latency,99th_latency,95th_latency
READ_ATOMIC_FASTOPW,1000,0.95,1,16,5,5,1000000,zipfian,0.99,4145.946875,73.02,73.05,72.47,73.02,73.02
READ_ATOMIC_FASTOPW,1000,0.95,1,32,5,5,1000000,zipfian,0.99,1208.04875,124.97,125.25,119.60,124.97,124.97
READ_ATOMIC_FASTOPW,1000,0.95,1,64,5,5,1000000,zipfian,0.99,303.54421875,250.43,251.59,228.27,250.43,250.43
READ_ATOMIC_FASTOPW,1000,0.95,1,128,5,5,1000000,zipfian,0.99,54.840546875,699.82,706.12,580.72,699.82,699.82
READ_ATOMIC_FASTOPW,1000,0.95,1,200,5,5,1000000,zipfian,0.99,17.067149999999998,1418.21,1439.05,1017.58,1418.21,1418.21
READ_ATOMIC_FASTOPW,1000,0.95,1,256,5,5,1000000,zipfian,0.99,10.34984375,1833.71,1858.26,1364.42,1833.71,1833.71
