algorithm,threads,read_prop,value_size,txn_size,num_clients,num_servers,num_key,distribution,zipfian_constant,throughput,average_latency,read_latency,write_latency,99th_latency,95th_latency
READ_ATOMIC_LORA,1000,0.95,1,16,5,5,1000000,zipfian,0.99,4279.55625,70.64,70.29,77.30,70.64,70.64
READ_ATOMIC_LORA,1000,0.95,1,32,5,5,1000000,zipfian,0.99,1157.3090625,130.58,133.43,76.30,130.58,130.58
READ_ATOMIC_LORA,1000,0.95,1,64,5,5,1000000,zipfian,0.99,213.09734375,354.93,365.65,151.75,354.93,354.93
READ_ATOMIC_LORA,1000,0.95,1,128,5,5,1000000,zipfian,0.99,33.623046875,1131.21,1155.65,666.53,1131.21,1131.21
READ_ATOMIC_LORA,1000,0.95,1,200,5,5,1000000,zipfian,0.99,8.23625,2958.51,3013.28,1940.90,2958.51,2958.51
READ_ATOMIC_LORA,1000,0.95,1,256,5,5,1000000,zipfian,0.99,5.2495703125,3613.89,3647.51,2967.28,3613.89,3613.89
